作物1,作物2
南瓜,香菇
南瓜,白灵菇
南瓜,羊肚菌
红薯,莜麦
红薯,大麦
红薯,水稻
红薯,豇豆
红薯,刀豆
红薯,芸豆
红薯,土豆
红薯,西红柿
红薯,茄子
红薯,菠菜
红薯,青椒
红薯,菜花
红薯,包菜
红薯,油麦菜
红薯,小青菜
红薯,黄瓜
红薯,生菜
红薯,辣椒
红薯,空心菜
红薯,黄心菜
红薯,芹菜
红薯,大白菜
红薯,白萝卜
红薯,红萝卜
红薯,榆黄菇
红薯,香菇
红薯,白灵菇
红薯,羊肚菌
莜麦,大麦
莜麦,水稻
莜麦,豇豆
莜麦,刀豆
莜麦,芸豆
莜麦,土豆
莜麦,西红柿
莜麦,茄子
莜麦,菠菜
莜麦,青椒
莜麦,菜花
莜麦,包菜
莜麦,油麦菜
莜麦,小青菜
莜麦,黄瓜
莜麦,生菜
莜麦,辣椒
莜麦,空心菜
莜麦,黄心菜
莜麦,芹菜
莜麦,大白菜
莜麦,白萝卜
莜麦,红萝卜
莜麦,榆黄菇
莜麦,香菇
莜麦,白灵菇
莜麦,羊肚菌
大麦,水稻
大麦,豇豆
大麦,刀豆
大麦,芸豆
大麦,土豆
大麦,西红柿
大麦,茄子
大麦,菠菜
大麦,青椒
大麦,菜花
大麦,包菜
大麦,油麦菜
大麦,小青菜
大麦,黄瓜
大麦,生菜
大麦,辣椒
大麦,空心菜
大麦,黄心菜
大麦,芹菜
大麦,大白菜
大麦,白萝卜
大麦,红萝卜
大麦,榆黄菇
大麦,香菇
大麦,白灵菇
大麦,羊肚菌
水稻,豇豆
水稻,刀豆
水稻,芸豆
水稻,土豆
水稻,西红柿
水稻,茄子
水稻,菠菜
水稻,青椒
水稻,菜花
水稻,包菜
水稻,油麦菜
水稻,小青菜
水稻,黄瓜
水稻,生菜
水稻,辣椒
水稻,空心菜
水稻,黄心菜
水稻,芹菜
水稻,大白菜
水稻,白萝卜
水稻,红萝卜
水稻,榆黄菇
水稻,香菇
水稻,白灵菇
水稻,羊肚菌
豇豆,刀豆
豇豆,芸豆
豇豆,土豆
豇豆,西红柿
豇豆,茄子
豇豆,菠菜
豇豆,青椒
豇豆,菜花
豇豆,包菜
豇豆,油麦菜
豇豆,小青菜
豇豆,黄瓜
豇豆,生菜
豇豆,辣椒
豇豆,空心菜
豇豆,黄心菜
豇豆,芹菜
豇豆,大白菜
豇豆,白萝卜
豇豆,红萝卜
豇豆,榆黄菇
豇豆,香菇
豇豆,白灵菇
豇豆,羊肚菌
刀豆,芸豆
刀豆,土豆
刀豆,西红柿
刀豆,茄子
刀豆,菠菜
刀豆,青椒
刀豆,菜花
刀豆,包菜
刀豆,油麦菜
刀豆,小青菜
刀豆,黄瓜
刀豆,生菜
刀豆,辣椒
刀豆,空心菜
刀豆,黄心菜
刀豆,芹菜
刀豆,大白菜
刀豆,白萝卜
刀豆,红萝卜
刀豆,榆黄菇
刀豆,香菇
刀豆,白灵菇
刀豆,羊肚菌
芸豆,土豆
芸豆,西红柿
芸豆,茄子
芸豆,菠菜
芸豆,青椒
芸豆,菜花
芸豆,包菜
芸豆,油麦菜
芸豆,小青菜
芸豆,黄瓜
芸豆,生菜
芸豆,辣椒
芸豆,空心菜
芸豆,黄心菜
芸豆,芹菜
芸豆,大白菜
芸豆,白萝卜
芸豆,红萝卜
芸豆,榆黄菇
芸豆,香菇
芸豆,白灵菇
芸豆,羊肚菌
土豆,西红柿
土豆,茄子
土豆,菠菜
土豆,青椒
土豆,菜花
土豆,包菜
土豆,油麦菜
土豆,小青菜
土豆,黄瓜
土豆,生菜
土豆,辣椒
土豆,空心菜
土豆,黄心菜
土豆,芹菜
土豆,大白菜
土豆,白萝卜
土豆,红萝卜
土豆,榆黄菇
土豆,香菇
土豆,白灵菇
土豆,羊肚菌
西红柿,茄子
西红柿,菠菜
西红柿,青椒
西红柿,菜花
西红柿,包菜
西红柿,油麦菜
西红柿,小青菜
西红柿,黄瓜
西红柿,生菜
西红柿,辣椒
西红柿,空心菜
西红柿,黄心菜
西红柿,芹菜
西红柿,大白菜
西红柿,白萝卜
西红柿,红萝卜
西红柿,榆黄菇
西红柿,香菇
西红柿,白灵菇
西红柿,羊肚菌
茄子,菠菜
茄子,青椒
茄子,菜花
茄子,包菜
茄子,油麦菜
茄子,小青菜
茄子,黄瓜
茄子,生菜
茄子,辣椒
茄子,空心菜
茄子,黄心菜
茄子,芹菜
茄子,大白菜
茄子,白萝卜
茄子,红萝卜
茄子,榆黄菇
茄子,香菇
茄子,白灵菇
茄子,羊肚菌
菠菜,青椒
菠菜,菜花
菠菜,包菜
菠菜,油麦菜
菠菜,小青菜
菠菜,黄瓜
菠菜,生菜
菠菜,辣椒
菠菜,空心菜
菠菜,黄心菜
菠菜,芹菜
菠菜,大白菜
菠菜,白萝卜
菠菜,红萝卜
菠菜,榆黄菇
菠菜,香菇
菠菜,白灵菇
菠菜,羊肚菌
青椒,菜花
青椒,包菜
青椒,油麦菜
青椒,小青菜
青椒,黄瓜
青椒,生菜
青椒,辣椒
青椒,空心菜
青椒,黄心菜
青椒,芹菜
青椒,大白菜
青椒,白萝卜
青椒,红萝卜
青椒,榆黄菇
青椒,香菇
青椒,白灵菇
青椒,羊肚菌
菜花,包菜
菜花,油麦菜
菜花,小青菜
菜花,黄瓜
菜花,生菜
菜花,辣椒
菜花,空心菜
菜花,黄心菜
菜花,芹菜
菜花,大白菜
菜花,白萝卜
菜花,红萝卜
菜花,榆黄菇
菜花,香菇
菜花,白灵菇
菜花,羊肚菌
包菜,油麦菜
包菜,小青菜
包菜,黄瓜
包菜,生菜
包菜,辣椒
包菜,空心菜
包菜,黄心菜
包菜,芹菜
包菜,大白菜
包菜,白萝卜
包菜,红萝卜
包菜,榆黄菇
包菜,香菇
包菜,白灵菇
包菜,羊肚菌
油麦菜,小青菜
油麦菜,黄瓜
油麦菜,生菜
油麦菜,辣椒
油麦菜,空心菜
油麦菜,黄心菜
油麦菜,芹菜
油麦菜,大白菜
油麦菜,白萝卜
油麦菜,红萝卜
油麦菜,榆黄菇
油麦菜,香菇
油麦菜,白灵菇
油麦菜,羊肚菌
小青菜,黄瓜
小青菜,生菜
小青菜,辣椒
小青菜,空心菜
小青菜,黄心菜
小青菜,芹菜
小青菜,大白菜
小青菜,白萝卜
小青菜,红萝卜
小青菜,榆黄菇
小青菜,香菇
小青菜,白灵菇
小青菜,羊肚菌
黄瓜,生菜
黄瓜,辣椒
黄瓜,空心菜
黄瓜,黄心菜
黄瓜,芹菜
黄瓜,大白菜
黄瓜,白萝卜
黄瓜,红萝卜
黄瓜,榆黄菇
黄瓜,香菇
黄瓜,白灵菇
黄瓜,羊肚菌
生菜,辣椒
生菜,空心菜
生菜,黄心菜
生菜,芹菜
生菜,大白菜
生菜,白萝卜
生菜,红萝卜
生菜,榆黄菇
生菜,香菇
生菜,白灵菇
生菜,羊肚菌
辣椒,空心菜
辣椒,黄心菜
辣椒,芹菜
辣椒,大白菜
辣椒,白萝卜
辣椒,红萝卜
辣椒,榆黄菇
辣椒,香菇
辣椒,白灵菇
辣椒,羊肚菌
空心菜,黄心菜
空心菜,芹菜
空心菜,大白菜
空心菜,白萝卜
空心菜,红萝卜
空心菜,榆黄菇
空心菜,香菇
空心菜,白灵菇
空心菜,羊肚菌
黄心菜,芹菜
黄心菜,大白菜
黄心菜,白萝卜
黄心菜,红萝卜
黄心菜,榆黄菇
黄心菜,香菇
黄心菜,白灵菇
黄心菜,羊肚菌
芹菜,大白菜
芹菜,白萝卜
芹菜,红萝卜
芹菜,榆黄菇
芹菜,香菇
芹菜,白灵菇
芹菜,羊肚菌
大白菜,白萝卜
大白菜,红萝卜
大白菜,榆黄菇
大白菜,香菇
大白菜,白灵菇
大白菜,羊肚菌
白萝卜,红萝卜
白萝卜,榆黄菇
白萝卜,香菇
白萝卜,白灵菇
白萝卜,羊肚菌
红萝卜,榆黄菇
红萝卜,香菇
红萝卜,白灵菇
红萝卜,羊肚菌
榆黄菇,香菇
榆黄菇,白灵菇
榆黄菇,羊肚菌
香菇,白灵菇
香菇,羊肚菌
白灵菇,羊肚菌
