作物1,作物2,回归值,相关性
红豆,莜麦,-0.8999,互补性
红豆,大麦,0.2931,可替代性
红豆,水稻,0.968,可替代性
红豆,豇豆,-0.8308,互补性
红豆,刀豆,0.7423,可替代性
红豆,芸豆,-0.2761,互补性
红豆,土豆,-0.3969,互补性
红豆,西红柿,0.056,可替代性
红豆,茄子,0.4209,可替代性
红豆,菠菜,0.4595,可替代性
红豆,青椒,-0.6136,互补性
红豆,菜花,-0.6958,互补性
红豆,包菜,-0.1216,互补性
红豆,油麦菜,0.6318,可替代性
红豆,小青菜,0.117,可替代性
红豆,黄瓜,-0.3876,互补性
红豆,生菜,-0.3178,互补性
红豆,辣椒,-0.9116,互补性
红豆,空心菜,0.5547,可替代性
红豆,黄心菜,0.0068,可替代性
红豆,芹菜,0.0748,可替代性
红豆,大白菜,0.5276,可替代性
红豆,白萝卜,0.3731,可替代性
红豆,红萝卜,0.5876,可替代性
红豆,榆黄菇,-0.7366,互补性
红豆,香菇,-0.7192,互补性
红豆,白灵菇,0.2446,可替代性
红豆,羊肚菌,-0.9359,互补性
绿豆,爬豆,-0.9515,互补性
绿豆,小麦,-0.4443,互补性
绿豆,玉米,-0.2555,互补性
绿豆,谷子,0.0845,可替代性
绿豆,高粱,-0.4321,互补性
绿豆,黍子,-0.162,互补性
绿豆,荞麦,-0.5155,互补性
绿豆,南瓜,-0.3123,互补性
绿豆,红薯,-0.8603,互补性
绿豆,莜麦,0.7409,可替代性
绿豆,大麦,0.1371,可替代性
绿豆,水稻,-0.4721,互补性
绿豆,豇豆,0.2047,可替代性
绿豆,刀豆,-0.4533,互补性
绿豆,芸豆,0.6604,可替代性
绿豆,土豆,0.7678,可替代性
绿豆,西红柿,-0.3213,互补性
绿豆,茄子,0.3952,可替代性
绿豆,菠菜,0.9783,可替代性
绿豆,青椒,-0.2434,互补性
绿豆,菜花,0.9502,可替代性
绿豆,包菜,-0.7242,互补性
绿豆,油麦菜,-0.4866,互补性
绿豆,小青菜,-0.0383,互补性
绿豆,黄瓜,-0.5928,互补性
绿豆,生菜,0.5012,可替代性
绿豆,辣椒,-0.5762,互补性
绿豆,空心菜,-0.0935,互补性
绿豆,黄心菜,-0.2221,互补性
绿豆,芹菜,-0.9788,互补性
绿豆,大白菜,-0.9454,互补性
绿豆,白萝卜,0.4809,可替代性
绿豆,红萝卜,0.6959,可替代性
绿豆,榆黄菇,-0.8088,互补性
绿豆,香菇,0.1727,可替代性
绿豆,白灵菇,0.2088,可替代性
绿豆,羊肚菌,0.4208,可替代性
爬豆,小麦,-0.8641,互补性
爬豆,玉米,0.0154,可替代性
爬豆,谷子,0.5897,可替代性
爬豆,高粱,-0.1952,互补性
爬豆,黍子,-0.607,互补性
爬豆,荞麦,-0.4886,互补性
爬豆,南瓜,0.2257,可替代性
爬豆,红薯,-0.2396,互补性
爬豆,莜麦,-0.2612,互补性
爬豆,大麦,0.288,可替代性
爬豆,水稻,-0.0426,互补性
爬豆,豇豆,-0.3854,互补性
爬豆,刀豆,0.1393,可替代性
爬豆,芸豆,-0.6754,互补性
爬豆,土豆,0.9764,可替代性
爬豆,西红柿,-0.4972,互补性
爬豆,茄子,-0.5414,互补性
爬豆,菠菜,0.8162,可替代性
爬豆,青椒,-0.4527,互补性
爬豆,菜花,-0.7982,互补性
爬豆,包菜,0.3095,可替代性
爬豆,油麦菜,0.2266,可替代性
爬豆,小青菜,-0.9048,互补性
爬豆,黄瓜,-0.4775,互补性
爬豆,生菜,0.8164,可替代性
爬豆,辣椒,0.7067,可替代性
爬豆,空心菜,0.646,可替代性
爬豆,黄心菜,0.3088,可替代性
爬豆,芹菜,-0.2065,互补性
爬豆,大白菜,-0.404,互补性
爬豆,白萝卜,0.0708,可替代性
爬豆,红萝卜,-0.2082,互补性
爬豆,榆黄菇,0.9282,可替代性
爬豆,香菇,0.8902,可替代性
爬豆,白灵菇,0.5041,可替代性
爬豆,羊肚菌,-0.6825,互补性
小麦,玉米,0.7684,可替代性
小麦,谷子,-0.5404,互补性
小麦,高粱,0.1499,可替代性
小麦,黍子,0.2669,可替代性
小麦,荞麦,-0.8366,互补性
小麦,南瓜,0.3045,可替代性
小麦,红薯,-0.2933,互补性
小麦,莜麦,0.4806,可替代性
小麦,大麦,-0.9046,互补性
小麦,水稻,0.5457,可替代性
小麦,豇豆,0.8679,可替代性
小麦,刀豆,0.7762,可替代性
小麦,芸豆,0.6901,可替代性
小麦,土豆,0.2129,可替代性
小麦,西红柿,-0.7434,互补性
小麦,茄子,0.8486,可替代性
小麦,菠菜,-0.8387,互补性
小麦,青椒,-0.0344,互补性
小麦,菜花,0.1005,可替代性
小麦,包菜,0.2969,可替代性
小麦,油麦菜,0.1111,可替代性
小麦,小青菜,-0.6124,互补性
小麦,黄瓜,-0.0565,互补性
小麦,生菜,-0.0731,互补性
小麦,辣椒,0.9864,可替代性
小麦,空心菜,0.8387,可替代性
小麦,黄心菜,0.3207,可替代性
小麦,芹菜,0.3216,可替代性
小麦,大白菜,-0.3485,互补性
小麦,白萝卜,-0.0226,互补性
小麦,红萝卜,-0.9632,互补性
小麦,榆黄菇,0.5483,可替代性
小麦,香菇,0.5346,可替代性
小麦,白灵菇,-0.2091,互补性
小麦,羊肚菌,-0.9843,互补性
玉米,谷子,-0.0675,互补性
玉米,高粱,0.6812,可替代性
玉米,黍子,0.2827,可替代性
玉米,荞麦,0.4195,可替代性
玉米,南瓜,-0.9849,互补性
玉米,红薯,-0.4739,互补性
玉米,莜麦,0.5148,可替代性
玉米,大麦,-0.2535,互补性
玉米,水稻,-0.5426,互补性
玉米,豇豆,-0.6926,互补性
玉米,刀豆,-0.2338,互补性
玉米,芸豆,-0.6729,互补性
玉米,土豆,0.2681,可替代性
玉米,西红柿,-0.0766,互补性
玉米,茄子,0.569,可替代性
玉米,菠菜,0.1528,可替代性
玉米,青椒,0.6319,可替代性
玉米,菜花,-0.0308,互补性
玉米,包菜,-0.1341,互补性
玉米,油麦菜,-0.5771,互补性
玉米,小青菜,0.2372,可替代性
玉米,黄瓜,0.8006,可替代性
玉米,生菜,-0.714,互补性
玉米,辣椒,0.5371,可替代性
玉米,空心菜,-0.4893,互补性
玉米,黄心菜,-0.3818,互补性
玉米,芹菜,0.9897,可替代性
玉米,大白菜,-0.1511,互补性
玉米,白萝卜,-0.7401,互补性
玉米,红萝卜,-0.7059,互补性
玉米,榆黄菇,-0.5525,互补性
玉米,香菇,0.545,可替代性
玉米,白灵菇,-0.6386,互补性
玉米,羊肚菌,0.9707,可替代性
谷子,高粱,-0.6301,互补性
谷子,黍子,0.3319,可替代性
谷子,荞麦,0.5882,可替代性
谷子,南瓜,-0.6828,互补性
谷子,红薯,0.0806,可替代性
谷子,莜麦,0.4377,可替代性
谷子,大麦,0.5025,可替代性
谷子,水稻,0.6393,可替代性
谷子,豇豆,-0.055,互补性
谷子,刀豆,-0.8034,互补性
谷子,芸豆,0.0493,可替代性
谷子,土豆,0.2557,可替代性
谷子,西红柿,0.605,可替代性
谷子,茄子,-0.053,互补性
谷子,菠菜,-0.6488,互补性
谷子,青椒,0.3155,可替代性
谷子,菜花,0.5274,可替代性
谷子,包菜,0.5415,可替代性
谷子,油麦菜,-0.5139,互补性
谷子,小青菜,0.2537,可替代性
谷子,黄瓜,-0.2382,互补性
谷子,生菜,-0.398,互补性
谷子,辣椒,-0.5121,互补性
谷子,空心菜,0.5704,可替代性
谷子,黄心菜,-0.3522,互补性
谷子,芹菜,0.2924,可替代性
谷子,大白菜,0.8327,可替代性
谷子,白萝卜,-0.2399,互补性
谷子,红萝卜,-0.2254,互补性
谷子,榆黄菇,0.0439,可替代性
谷子,香菇,0.3074,可替代性
谷子,白灵菇,0.8357,可替代性
谷子,羊肚菌,0.8459,可替代性
高粱,黍子,0.8663,可替代性
高粱,荞麦,-0.8646,互补性
高粱,南瓜,-0.8004,互补性
高粱,红薯,0.137,可替代性
高粱,莜麦,-0.9519,互补性
高粱,大麦,0.522,可替代性
高粱,水稻,0.4849,可替代性
高粱,豇豆,0.4141,可替代性
高粱,刀豆,0.4505,可替代性
高粱,芸豆,0.0967,可替代性
高粱,土豆,-0.4477,互补性
高粱,西红柿,-0.4288,互补性
高粱,茄子,0.6355,可替代性
高粱,菠菜,-0.0228,互补性
高粱,青椒,0.5237,可替代性
高粱,菜花,0.1574,可替代性
高粱,包菜,0.2678,可替代性
高粱,油麦菜,0.0432,可替代性
高粱,小青菜,0.7842,可替代性
高粱,黄瓜,0.7303,可替代性
高粱,生菜,-0.2956,互补性
高粱,辣椒,-0.1594,互补性
高粱,空心菜,-0.8111,互补性
高粱,黄心菜,-0.3373,互补性
高粱,芹菜,-0.04,互补性
高粱,大白菜,0.151,可替代性
高粱,白萝卜,0.9907,可替代性
高粱,红萝卜,-0.5301,互补性
高粱,榆黄菇,0.2582,可替代性
高粱,香菇,0.9898,可替代性
高粱,白灵菇,0.3302,可替代性
高粱,羊肚菌,0.031,可替代性
黍子,荞麦,0.7053,可替代性
黍子,南瓜,0.7999,可替代性
黍子,红薯,-0.6671,互补性
黍子,莜麦,0.1587,可替代性
黍子,大麦,0.2606,可替代性
黍子,水稻,-0.3937,互补性
黍子,豇豆,0.7613,可替代性
黍子,刀豆,-0.1567,互补性
黍子,芸豆,0.0644,可替代性
黍子,土豆,-0.3969,互补性
黍子,西红柿,-0.6262,互补性
黍子,茄子,-0.1108,互补性
黍子,菠菜,-0.2965,互补性
黍子,青椒,-0.9497,互补性
黍子,菜花,-0.1707,互补性
黍子,包菜,0.6318,可替代性
黍子,油麦菜,-0.7356,互补性
黍子,小青菜,0.2345,可替代性
黍子,黄瓜,-0.3299,互补性
黍子,生菜,-0.6213,互补性
黍子,辣椒,0.562,可替代性
黍子,空心菜,-0.9211,互补性
黍子,黄心菜,-0.8003,互补性
黍子,芹菜,-0.6599,互补性
黍子,大白菜,0.7093,可替代性
黍子,白萝卜,0.2053,可替代性
黍子,红萝卜,-0.4026,互补性
黍子,榆黄菇,-0.167,互补性
黍子,香菇,-0.2904,互补性
黍子,白灵菇,0.7045,可替代性
黍子,羊肚菌,0.3028,可替代性
荞麦,南瓜,-0.0685,互补性
荞麦,红薯,0.71,可替代性
荞麦,莜麦,-0.5828,互补性
荞麦,大麦,-0.6102,互补性
荞麦,水稻,0.4253,可替代性
荞麦,豇豆,-0.9663,互补性
荞麦,刀豆,0.9927,可替代性
荞麦,芸豆,-0.4288,互补性
荞麦,土豆,-0.0505,互补性
荞麦,西红柿,0.1414,可替代性
荞麦,茄子,-0.932,互补性
荞麦,菠菜,0.9863,可替代性
荞麦,青椒,0.9682,可替代性
荞麦,菜花,-0.6642,互补性
荞麦,包菜,-0.016,互补性
荞麦,油麦菜,-0.1581,互补性
荞麦,小青菜,0.4194,可替代性
荞麦,黄瓜,0.689,可替代性
荞麦,生菜,-0.191,互补性
荞麦,辣椒,-0.6323,互补性
荞麦,空心菜,0.1784,可替代性
荞麦,黄心菜,0.5144,可替代性
荞麦,芹菜,-0.7974,互补性
荞麦,大白菜,-0.9896,互补性
荞麦,白萝卜,-0.1077,互补性
荞麦,红萝卜,-0.1121,互补性
荞麦,榆黄菇,-0.6688,互补性
荞麦,香菇,-0.3067,互补性
荞麦,白灵菇,-0.2205,互补性
荞麦,羊肚菌,-0.2403,互补性
南瓜,红薯,0.4493,可替代性
南瓜,莜麦,-0.6707,互补性
南瓜,大麦,-0.8887,互补性
南瓜,水稻,0.7387,可替代性
南瓜,豇豆,-0.9739,互补性
南瓜,刀豆,-0.6886,互补性
南瓜,芸豆,0.1213,可替代性
南瓜,土豆,0.5987,可替代性
南瓜,西红柿,0.1001,可替代性
南瓜,茄子,0.8301,可替代性
南瓜,菠菜,0.5234,可替代性
南瓜,青椒,-0.6172,互补性
南瓜,菜花,-0.8124,互补性
南瓜,包菜,0.0574,可替代性
南瓜,油麦菜,-0.3786,互补性
南瓜,小青菜,0.096,可替代性
南瓜,黄瓜,0.3243,可替代性
南瓜,生菜,-0.7991,互补性
南瓜,辣椒,0.6183,可替代性
南瓜,空心菜,0.6712,可替代性
南瓜,黄心菜,0.4095,可替代性
南瓜,芹菜,0.9127,可替代性
南瓜,大白菜,0.5262,可替代性
南瓜,白萝卜,-0.4152,互补性
南瓜,红萝卜,-0.5693,互补性
南瓜,榆黄菇,-0.9829,互补性
南瓜,香菇,0.8504,可替代性
南瓜,白灵菇,-0.9304,互补性
南瓜,羊肚菌,-0.1344,互补性
红薯,莜麦,-0.9668,互补性
红薯,大麦,0.7726,可替代性
红薯,水稻,-0.8289,互补性
红薯,豇豆,0.0051,可替代性
红薯,刀豆,0.2715,可替代性
红薯,芸豆,-0.9501,互补性
红薯,土豆,-0.0227,互补性
红薯,西红柿,-0.8086,互补性
红薯,茄子,-0.8209,互补性
红薯,菠菜,0.1062,可替代性
红薯,青椒,0.4039,可替代性
红薯,菜花,0.8195,可替代性
红薯,包菜,0.9734,可替代性
红薯,油麦菜,-0.4217,互补性
红薯,小青菜,0.3947,可替代性
红薯,黄瓜,0.6749,可替代性
红薯,生菜,-0.3212,互补性
红薯,辣椒,-0.1367,互补性
红薯,空心菜,-0.4645,互补性
红薯,黄心菜,0.6423,可替代性
红薯,芹菜,0.3224,可替代性
红薯,大白菜,0.6357,可替代性
红薯,白萝卜,-0.3321,互补性
红薯,红萝卜,-0.9502,互补性
红薯,榆黄菇,-0.3749,互补性
红薯,香菇,0.3887,可替代性
红薯,白灵菇,-0.6017,互补性
红薯,羊肚菌,-0.2589,互补性
莜麦,大麦,0.7505,可替代性
莜麦,水稻,0.5888,可替代性
莜麦,豇豆,-0.2014,互补性
莜麦,刀豆,-0.6394,互补性
莜麦,芸豆,0.4037,可替代性
莜麦,土豆,0.5246,可替代性
莜麦,西红柿,0.3843,可替代性
莜麦,茄子,0.1873,可替代性
莜麦,菠菜,-0.3781,互补性
莜麦,青椒,0.3138,可替代性
莜麦,菜花,0.3587,可替代性
莜麦,包菜,-0.304,互补性
莜麦,油麦菜,-0.5173,互补性
莜麦,小青菜,-0.8596,互补性
莜麦,黄瓜,-0.1964,互补性
莜麦,生菜,0.5483,可替代性
莜麦,辣椒,-0.7786,互补性
莜麦,空心菜,0.2202,可替代性
莜麦,黄心菜,0.8547,可替代性
莜麦,芹菜,-0.8803,互补性
莜麦,大白菜,0.0808,可替代性
莜麦,白萝卜,0.4022,可替代性
莜麦,红萝卜,0.0149,可替代性
莜麦,榆黄菇,0.8332,可替代性
莜麦,香菇,-0.2716,互补性
莜麦,白灵菇,0.8649,可替代性
莜麦,羊肚菌,0.9954,可替代性
大麦,水稻,0.3628,可替代性
大麦,豇豆,0.2964,可替代性
大麦,刀豆,0.9864,可替代性
大麦,芸豆,-0.6501,互补性
大麦,土豆,-0.2116,互补性
大麦,西红柿,0.33,可替代性
大麦,茄子,0.4989,可替代性
大麦,菠菜,0.0292,可替代性
大麦,青椒,0.9077,可替代性
大麦,菜花,-0.9925,互补性
大麦,包菜,0.1184,可替代性
大麦,油麦菜,0.5287,可替代性
大麦,小青菜,0.696,可替代性
大麦,黄瓜,0.7661,可替代性
大麦,生菜,0.5154,可替代性
大麦,辣椒,-0.0145,互补性
大麦,空心菜,0.3411,可替代性
大麦,黄心菜,-0.2615,互补性
大麦,芹菜,0.8047,可替代性
大麦,大白菜,0.1323,可替代性
大麦,白萝卜,-0.5376,互补性
大麦,红萝卜,0.3303,可替代性
大麦,榆黄菇,0.5798,可替代性
大麦,香菇,-0.6548,互补性
大麦,白灵菇,-0.3829,互补性
大麦,羊肚菌,0.2245,可替代性
水稻,豇豆,-0.495,互补性
水稻,刀豆,0.5325,可替代性
水稻,芸豆,-0.7485,互补性
水稻,土豆,-0.6693,互补性
水稻,西红柿,-0.1129,互补性
水稻,茄子,0.6174,可替代性
水稻,菠菜,-0.4837,互补性
水稻,青椒,0.2969,可替代性
水稻,菜花,-0.6868,互补性
水稻,包菜,-0.9318,互补性
水稻,油麦菜,0.5949,可替代性
水稻,小青菜,-0.6199,互补性
水稻,黄瓜,0.911,可替代性
水稻,生菜,-0.4167,互补性
水稻,辣椒,-0.2866,互补性
水稻,空心菜,0.6118,可替代性
水稻,黄心菜,-0.5565,互补性
水稻,芹菜,-0.217,互补性
水稻,大白菜,0.0343,可替代性
水稻,白萝卜,0.6346,可替代性
水稻,红萝卜,-0.7437,互补性
水稻,榆黄菇,0.5842,可替代性
水稻,香菇,-0.2245,互补性
水稻,白灵菇,-0.663,互补性
水稻,羊肚菌,-0.6741,互补性
豇豆,刀豆,0.9182,可替代性
豇豆,芸豆,0.3896,可替代性
豇豆,土豆,-0.1158,互补性
豇豆,西红柿,-0.4958,互补性
豇豆,茄子,-0.0017,互补性
豇豆,菠菜,-0.8913,互补性
豇豆,青椒,0.3922,可替代性
豇豆,菜花,0.4963,可替代性
豇豆,包菜,0.9995,可替代性
豇豆,油麦菜,0.4089,可替代性
豇豆,小青菜,0.9042,可替代性
豇豆,黄瓜,0.5244,可替代性
豇豆,生菜,-0.7095,互补性
豇豆,辣椒,-0.8312,互补性
豇豆,空心菜,-0.2651,互补性
豇豆,黄心菜,-0.4277,互补性
豇豆,芹菜,0.8368,可替代性
豇豆,大白菜,0.1297,可替代性
豇豆,白萝卜,0.1354,可替代性
豇豆,红萝卜,-0.0736,互补性
豇豆,榆黄菇,0.1396,可替代性
豇豆,香菇,-0.0693,互补性
豇豆,白灵菇,-0.5539,互补性
豇豆,羊肚菌,0.0311,可替代性
刀豆,芸豆,-0.0384,互补性
刀豆,土豆,0.2034,可替代性
刀豆,西红柿,0.7201,可替代性
刀豆,茄子,0.4239,可替代性
刀豆,菠菜,0.9432,可替代性
刀豆,青椒,0.2377,可替代性
刀豆,菜花,-0.1233,互补性
刀豆,包菜,0.7615,可替代性
刀豆,油麦菜,0.8674,可替代性
刀豆,小青菜,0.5824,可替代性
刀豆,黄瓜,-0.0995,互补性
刀豆,生菜,-0.9149,互补性
刀豆,辣椒,-0.4282,互补性
刀豆,空心菜,-0.5204,互补性
刀豆,黄心菜,-0.6373,互补性
刀豆,芹菜,0.685,可替代性
刀豆,大白菜,-0.3103,互补性
刀豆,白萝卜,-0.5139,互补性
刀豆,红萝卜,0.2947,可替代性
刀豆,榆黄菇,-0.5713,互补性
刀豆,香菇,0.016,可替代性
刀豆,白灵菇,-0.1564,互补性
刀豆,羊肚菌,-0.931,互补性
芸豆,土豆,-0.9622,互补性
芸豆,西红柿,0.3007,可替代性
芸豆,茄子,-0.3241,互补性
芸豆,菠菜,0.9804,可替代性
芸豆,青椒,-0.1914,互补性
芸豆,菜花,0.5267,可替代性
芸豆,包菜,0.4372,可替代性
芸豆,油麦菜,0.0982,可替代性
芸豆,小青菜,0.6238,可替代性
芸豆,黄瓜,0.6387,可替代性
芸豆,生菜,0.6655,可替代性
芸豆,辣椒,-0.053,互补性
芸豆,空心菜,0.2583,可替代性
芸豆,黄心菜,0.9409,可替代性
芸豆,芹菜,0.0071,可替代性
芸豆,大白菜,0.0602,可替代性
芸豆,白萝卜,-0.3859,互补性
芸豆,红萝卜,0.9085,可替代性
芸豆,榆黄菇,-0.4794,互补性
芸豆,香菇,0.3044,可替代性
芸豆,白灵菇,0.9741,可替代性
芸豆,羊肚菌,-0.1841,互补性
土豆,西红柿,0.2742,可替代性
土豆,茄子,-0.9349,互补性
土豆,菠菜,-0.7965,互补性
土豆,青椒,-0.7297,互补性
土豆,菜花,-0.6121,互补性
土豆,包菜,-0.1498,互补性
土豆,油麦菜,-0.2903,互补性
土豆,小青菜,0.9622,可替代性
土豆,黄瓜,0.8908,可替代性
土豆,生菜,-0.9911,互补性
土豆,辣椒,-0.0329,互补性
土豆,空心菜,0.1132,可替代性
土豆,黄心菜,-0.34,互补性
土豆,芹菜,0.6822,可替代性
土豆,大白菜,-0.1469,互补性
土豆,白萝卜,-0.0846,互补性
土豆,红萝卜,0.4608,可替代性
土豆,榆黄菇,0.8553,可替代性
土豆,香菇,0.9206,可替代性
土豆,白灵菇,-0.1392,互补性
土豆,羊肚菌,-0.4667,互补性
西红柿,茄子,-0.8202,互补性
西红柿,菠菜,-0.0164,互补性
西红柿,青椒,0.8771,可替代性
西红柿,菜花,-0.7129,互补性
西红柿,包菜,-0.9722,互补性
西红柿,油麦菜,-0.9532,互补性
西红柿,小青菜,-0.317,互补性
西红柿,黄瓜,0.4816,可替代性
西红柿,生菜,0.3165,可替代性
西红柿,辣椒,-0.1104,互补性
西红柿,空心菜,-0.1947,互补性
西红柿,黄心菜,-0.3641,互补性
西红柿,芹菜,-0.6479,互补性
西红柿,大白菜,-0.038,互补性
西红柿,白萝卜,0.6099,可替代性
西红柿,红萝卜,-0.7517,互补性
西红柿,榆黄菇,0.5128,可替代性
西红柿,香菇,-0.1113,互补性
西红柿,白灵菇,-0.9805,互补性
西红柿,羊肚菌,-0.5801,互补性
茄子,菠菜,-0.1647,互补性
茄子,青椒,-0.2584,互补性
茄子,菜花,-0.1447,互补性
茄子,包菜,-0.5609,互补性
茄子,油麦菜,0.9571,可替代性
茄子,小青菜,-0.1781,互补性
茄子,黄瓜,0.032,可替代性
茄子,生菜,0.3976,可替代性
茄子,辣椒,-0.2852,互补性
茄子,空心菜,0.5027,可替代性
茄子,黄心菜,-0.2065,互补性
茄子,芹菜,0.0965,可替代性
茄子,大白菜,0.1426,可替代性
茄子,白萝卜,-0.4269,互补性
茄子,红萝卜,-0.1212,互补性
茄子,榆黄菇,-0.4153,互补性
茄子,香菇,0.7506,可替代性
茄子,白灵菇,-0.4288,互补性
茄子,羊肚菌,-0.6883,互补性
菠菜,青椒,0.6412,可替代性
菠菜,菜花,-0.1036,互补性
菠菜,包菜,-0.1743,互补性
菠菜,油麦菜,0.2805,可替代性
菠菜,小青菜,0.9537,可替代性
菠菜,黄瓜,0.4004,可替代性
菠菜,生菜,-0.3145,互补性
菠菜,辣椒,0.606,可替代性
菠菜,空心菜,-0.4422,互补性
菠菜,黄心菜,0.5731,可替代性
菠菜,芹菜,0.7321,可替代性
菠菜,大白菜,-0.0245,互补性
菠菜,白萝卜,0.0069,可替代性
菠菜,红萝卜,0.5123,可替代性
菠菜,榆黄菇,0.0443,可替代性
菠菜,香菇,0.6405,可替代性
菠菜,白灵菇,0.4534,可替代性
菠菜,羊肚菌,0.5542,可替代性
青椒,菜花,-0.2914,互补性
青椒,包菜,-0.4527,互补性
青椒,油麦菜,-0.1282,互补性
青椒,小青菜,0.7139,可替代性
青椒,黄瓜,0.9454,可替代性
青椒,生菜,-0.0723,互补性
青椒,辣椒,-0.5119,互补性
青椒,空心菜,0.1634,可替代性
青椒,黄心菜,0.2453,可替代性
青椒,芹菜,0.7823,可替代性
青椒,大白菜,0.849,可替代性
青椒,白萝卜,-0.9582,互补性
青椒,红萝卜,-0.4391,互补性
青椒,榆黄菇,0.9575,可替代性
青椒,香菇,0.2328,可替代性
青椒,白灵菇,0.815,可替代性
青椒,羊肚菌,-0.8856,互补性
菜花,包菜,0.6546,可替代性
菜花,油麦菜,-0.0823,互补性
菜花,小青菜,0.8859,可替代性
菜花,黄瓜,-0.859,互补性
菜花,生菜,0.2202,可替代性
菜花,辣椒,-0.5949,互补性
菜花,空心菜,-0.4606,互补性
菜花,黄心菜,-0.1827,互补性
菜花,芹菜,0.975,可替代性
菜花,大白菜,0.8768,可替代性
菜花,白萝卜,0.4267,可替代性
菜花,红萝卜,-0.4155,互补性
菜花,榆黄菇,-1.0,互补性
菜花,香菇,0.0551,可替代性
菜花,白灵菇,-0.139,互补性
菜花,羊肚菌,-0.7825,互补性
包菜,油麦菜,-0.9709,互补性
包菜,小青菜,0.728,可替代性
包菜,黄瓜,-0.6976,互补性
包菜,生菜,0.4502,可替代性
包菜,辣椒,-0.6873,互补性
包菜,空心菜,0.1698,可替代性
包菜,黄心菜,-0.9184,互补性
包菜,芹菜,0.7692,可替代性
包菜,大白菜,-0.4397,互补性
包菜,白萝卜,-0.375,互补性
包菜,红萝卜,-0.6625,互补性
包菜,榆黄菇,-0.096,互补性
包菜,香菇,0.3693,可替代性
包菜,白灵菇,0.7794,可替代性
包菜,羊肚菌,0.1787,可替代性
油麦菜,小青菜,0.446,可替代性
油麦菜,黄瓜,-0.152,互补性
油麦菜,生菜,-0.471,互补性
