作物1,作物2,皮埃尔系数,相关性
绿豆,小青菜,-0.8585,负相关
绿豆,黄瓜,-0.4857,负相关
绿豆,生菜,-0.9261,负相关
绿豆,辣椒,0.8324,正相关
绿豆,空心菜,-0.5298,负相关
绿豆,黄心菜,0.3851,正相关
绿豆,芹菜,-0.3449,负相关
绿豆,大白菜,-0.859,负相关
绿豆,白萝卜,0.4424,正相关
绿豆,红萝卜,-0.1896,负相关
绿豆,榆黄菇,0.8997,正相关
绿豆,香菇,0.8073,正相关
绿豆,白灵菇,-0.5208,负相关
绿豆,羊肚菌,0.1468,正相关
爬豆,小麦,-0.6141,负相关
爬豆,玉米,0.1642,正相关
爬豆,谷子,0.1727,正相关
爬豆,高粱,-0.2689,负相关
爬豆,黍子,-0.8932,负相关
爬豆,荞麦,0.7241,正相关
爬豆,南瓜,-0.4132,负相关
爬豆,红薯,-0.3658,负相关
爬豆,莜麦,-0.5011,负相关
爬豆,大麦,0.833,正相关
爬豆,水稻,0.0261,正相关
爬豆,豇豆,0.3255,正相关
爬豆,刀豆,-0.7051,负相关
爬豆,芸豆,0.8493,正相关
爬豆,土豆,-0.892,负相关
爬豆,西红柿,0.985,正相关
爬豆,茄子,-0.9971,负相关
爬豆,菠菜,-0.1227,负相关
爬豆,青椒,0.2337,正相关
爬豆,菜花,-0.7032,负相关
爬豆,包菜,0.5339,正相关
爬豆,油麦菜,-0.8239,负相关
爬豆,小青菜,-0.5013,负相关
爬豆,黄瓜,-0.4599,负相关
爬豆,生菜,0.2547,正相关
爬豆,辣椒,-0.4977,负相关
爬豆,空心菜,0.4647,正相关
爬豆,黄心菜,-0.9468,负相关
爬豆,芹菜,-0.108,负相关
爬豆,大白菜,-0.4478,负相关
爬豆,白萝卜,0.1971,正相关
爬豆,红萝卜,0.8742,正相关
爬豆,榆黄菇,0.3785,正相关
爬豆,香菇,-0.9541,负相关
爬豆,白灵菇,-0.9986,负相关
爬豆,羊肚菌,0.5643,正相关
小麦,玉米,0.8839,正相关
小麦,谷子,0.7297,正相关
小麦,高粱,-0.205,负相关
小麦,黍子,0.4417,正相关
小麦,荞麦,-0.8428,负相关
小麦,南瓜,-0.3642,负相关
小麦,红薯,0.8135,正相关
小麦,莜麦,0.5328,正相关
小麦,大麦,-0.4795,负相关
小麦,水稻,-0.1714,负相关
小麦,豇豆,0.4256,正相关
小麦,刀豆,0.1267,正相关
小麦,芸豆,0.9964,正相关
小麦,土豆,0.7734,正相关
小麦,西红柿,0.1886,正相关
小麦,茄子,-0.1505,负相关
小麦,菠菜,-0.0625,负相关
小麦,青椒,-0.4752,负相关
小麦,菜花,0.0085,正相关
小麦,包菜,-0.2893,负相关
小麦,油麦菜,0.041,正相关
小麦,小青菜,0.3786,正相关
小麦,黄瓜,-0.2437,负相关
小麦,生菜,0.1792,正相关
小麦,辣椒,0.301,正相关
小麦,空心菜,0.2638,正相关
小麦,黄心菜,-0.6178,负相关
小麦,芹菜,0.3552,正相关
小麦,大白菜,-0.433,负相关
小麦,白萝卜,-0.5873,负相关
小麦,红萝卜,-0.0399,负相关
小麦,榆黄菇,-0.0101,负相关
小麦,香菇,-0.8654,负相关
小麦,白灵菇,-0.513,负相关
小麦,羊肚菌,-0.0851,负相关
玉米,谷子,-0.1328,负相关
玉米,高粱,-0.5227,负相关
玉米,黍子,0.4177,正相关
玉米,荞麦,-0.2531,负相关
玉米,南瓜,-0.5387,负相关
玉米,红薯,-0.6343,负相关
玉米,莜麦,0.4548,正相关
玉米,大麦,-0.7083,负相关
玉米,水稻,0.7336,正相关
玉米,豇豆,0.7941,正相关
玉米,刀豆,0.787,正相关
玉米,芸豆,-0.7224,负相关
玉米,土豆,0.874,正相关
玉米,西红柿,0.6465,正相关
玉米,茄子,-0.7529,负相关
玉米,菠菜,-0.2975,负相关
玉米,青椒,-0.8345,负相关
玉米,菜花,-0.0703,负相关
玉米,包菜,0.3749,正相关
玉米,油麦菜,0.4043,正相关
玉米,小青菜,-0.976,负相关
玉米,黄瓜,-0.6005,负相关
玉米,生菜,0.4747,正相关
玉米,辣椒,0.3004,正相关
玉米,空心菜,0.1549,正相关
玉米,黄心菜,0.036,正相关
玉米,芹菜,0.0717,正相关
玉米,大白菜,0.8464,正相关
玉米,白萝卜,0.8742,正相关
玉米,红萝卜,0.2195,正相关
玉米,榆黄菇,-0.7251,负相关
玉米,香菇,-0.4887,负相关
玉米,白灵菇,0.2809,正相关
玉米,羊肚菌,-0.3479,负相关
谷子,高粱,-0.2243,负相关
谷子,黍子,0.5789,正相关
谷子,荞麦,-0.9799,负相关
谷子,南瓜,-0.5445,负相关
谷子,红薯,-0.0997,负相关
谷子,莜麦,0.8505,正相关
谷子,大麦,-0.3069,负相关
谷子,水稻,-0.2827,负相关
谷子,豇豆,0.1479,正相关
谷子,刀豆,-0.8024,负相关
谷子,芸豆,-0.425,负相关
谷子,土豆,0.0682,正相关
谷子,西红柿,-0.8978,负相关
谷子,茄子,0.6917,正相关
谷子,菠菜,0.2842,正相关
谷子,青椒,0.2233,正相关
谷子,菜花,0.1714,正相关
谷子,包菜,0.939,正相关
谷子,油麦菜,-0.9796,负相关
谷子,小青菜,-0.7727,负相关
谷子,黄瓜,0.0101,正相关
谷子,生菜,0.6313,正相关
谷子,辣椒,0.8906,正相关
谷子,空心菜,0.7294,正相关
谷子,黄心菜,-0.5337,负相关
谷子,芹菜,-0.5112,负相关
谷子,大白菜,-0.4544,负相关
谷子,白萝卜,0.1698,正相关
谷子,红萝卜,-0.2584,负相关
谷子,榆黄菇,-0.1646,负相关
谷子,香菇,0.3006,正相关
谷子,白灵菇,0.6153,正相关
谷子,羊肚菌,0.1749,正相关
高粱,黍子,-0.504,负相关
高粱,荞麦,0.5049,正相关
高粱,南瓜,0.2322,正相关
高粱,红薯,0.7452,正相关
高粱,莜麦,-0.5831,负相关
高粱,大麦,-0.0941,负相关
高粱,水稻,-0.0038,负相关
高粱,豇豆,-0.039,负相关
高粱,刀豆,-0.7059,负相关
高粱,芸豆,0.1255,正相关
高粱,土豆,0.637,正相关
高粱,西红柿,0.3064,正相关
高粱,茄子,0.3027,正相关
高粱,菠菜,0.9517,正相关
高粱,青椒,0.2007,正相关
高粱,菜花,-0.5915,负相关
高粱,包菜,-0.8819,负相关
高粱,油麦菜,-0.3157,负相关
高粱,小青菜,0.9691,正相关
高粱,黄瓜,0.7146,正相关
高粱,生菜,0.7618,正相关
高粱,辣椒,-0.9046,负相关
高粱,空心菜,0.271,正相关
高粱,黄心菜,-0.9057,负相关
高粱,芹菜,-0.2626,负相关
高粱,大白菜,-0.4358,负相关
高粱,白萝卜,-0.5878,负相关
高粱,红萝卜,-0.5681,负相关
高粱,榆黄菇,-0.5586,负相关
高粱,香菇,0.3849,正相关
高粱,白灵菇,-0.9556,负相关
高粱,羊肚菌,-0.3426,负相关
黍子,荞麦,0.8383,正相关
黍子,南瓜,0.6995,正相关
黍子,红薯,0.0654,正相关
黍子,莜麦,0.5099,正相关
黍子,大麦,0.5257,正相关
黍子,水稻,-0.2677,负相关
黍子,豇豆,0.457,正相关
黍子,刀豆,0.8315,正相关
黍子,芸豆,0.5849,正相关
黍子,土豆,0.6433,正相关
黍子,西红柿,-0.4475,负相关
黍子,茄子,-0.8219,负相关
黍子,菠菜,-0.7098,负相关
黍子,青椒,0.576,正相关
黍子,菜花,-0.7372,负相关
黍子,包菜,-0.7078,负相关
黍子,油麦菜,0.6309,正相关
黍子,小青菜,-0.2747,负相关
黍子,黄瓜,0.6165,正相关
黍子,生菜,-0.8765,负相关
黍子,辣椒,-0.481,负相关
黍子,空心菜,-0.2605,负相关
黍子,黄心菜,0.0686,正相关
黍子,芹菜,-0.7706,负相关
黍子,大白菜,0.7041,正相关
黍子,白萝卜,0.8809,正相关
黍子,红萝卜,-0.0866,负相关
黍子,榆黄菇,0.6756,正相关
黍子,香菇,-0.9215,负相关
黍子,白灵菇,-0.1201,负相关
黍子,羊肚菌,-0.6328,负相关
荞麦,南瓜,-0.6741,负相关
荞麦,红薯,0.1225,正相关
荞麦,莜麦,-0.168,负相关
荞麦,大麦,-0.8311,负相关
荞麦,水稻,0.8481,正相关
荞麦,豇豆,0.9851,正相关
荞麦,刀豆,0.2586,正相关
荞麦,芸豆,-0.9528,负相关
荞麦,土豆,-0.2289,负相关
荞麦,西红柿,-0.9929,负相关
荞麦,茄子,0.4022,正相关
荞麦,菠菜,0.9206,正相关
荞麦,青椒,0.5134,正相关
荞麦,菜花,-0.7222,负相关
荞麦,包菜,0.5868,正相关
荞麦,油麦菜,-0.9155,负相关
荞麦,小青菜,-0.5703,负相关
荞麦,黄瓜,0.5536,正相关
荞麦,生菜,-0.0154,负相关
荞麦,辣椒,-0.712,负相关
荞麦,空心菜,-0.5185,负相关
荞麦,黄心菜,0.6328,正相关
荞麦,芹菜,-0.2756,负相关
荞麦,大白菜,-0.4143,负相关
荞麦,白萝卜,0.2611,正相关
荞麦,红萝卜,0.0218,正相关
荞麦,榆黄菇,0.7032,正相关
荞麦,香菇,-0.8141,负相关
荞麦,白灵菇,0.1407,正相关
荞麦,羊肚菌,0.6547,正相关
南瓜,红薯,0.5079,正相关
南瓜,莜麦,0.0313,正相关
南瓜,大麦,-0.6749,负相关
南瓜,水稻,-0.2413,负相关
南瓜,豇豆,0.0603,正相关
南瓜,刀豆,0.2415,正相关
南瓜,芸豆,-0.7467,负相关
南瓜,土豆,-0.7383,负相关
南瓜,西红柿,-0.7574,负相关
南瓜,茄子,-0.9662,负相关
南瓜,菠菜,0.5476,正相关
南瓜,青椒,-0.3415,负相关
南瓜,菜花,-0.6718,负相关
南瓜,包菜,0.9737,正相关
南瓜,油麦菜,0.5791,正相关
南瓜,小青菜,-0.0402,负相关
南瓜,黄瓜,0.2026,正相关
南瓜,生菜,0.8349,正相关
南瓜,辣椒,0.3834,正相关
南瓜,空心菜,0.1742,正相关
南瓜,黄心菜,-0.6432,负相关
南瓜,芹菜,-0.6089,负相关
南瓜,大白菜,0.5346,正相关
南瓜,白萝卜,0.0796,正相关
南瓜,红萝卜,0.8603,正相关
南瓜,榆黄菇,-0.5275,负相关
南瓜,香菇,-0.2423,负相关
南瓜,白灵菇,0.5525,正相关
南瓜,羊肚菌,0.3144,正相关
红薯,莜麦,0.9874,正相关
红薯,大麦,0.1624,正相关
红薯,水稻,0.8688,正相关
红薯,豇豆,-0.8356,负相关
红薯,刀豆,0.8866,正相关
红薯,芸豆,0.8599,正相关
红薯,土豆,-0.6891,负相关
红薯,西红柿,-0.2048,负相关
红薯,茄子,0.2693,正相关
红薯,菠菜,0.8099,正相关
红薯,青椒,-0.8221,负相关
红薯,菜花,0.838,正相关
红薯,包菜,-0.1214,负相关
红薯,油麦菜,0.7805,正相关
红薯,小青菜,-0.1312,负相关
红薯,黄瓜,-0.0988,负相关
红薯,生菜,-0.0714,负相关
红薯,辣椒,0.4801,正相关
红薯,空心菜,0.6575,正相关
红薯,黄心菜,-0.2941,负相关
红薯,芹菜,0.8989,正相关
红薯,大白菜,0.4865,正相关
红薯,白萝卜,-0.7619,负相关
红薯,红萝卜,0.0448,正相关
红薯,榆黄菇,-0.8491,负相关
红薯,香菇,-0.537,负相关
红薯,白灵菇,0.9666,正相关
红薯,羊肚菌,-0.0815,负相关
莜麦,大麦,0.905,正相关
莜麦,水稻,-0.9724,负相关
莜麦,豇豆,0.7465,正相关
莜麦,刀豆,0.5047,正相关
莜麦,芸豆,-0.1794,负相关
莜麦,土豆,0.6475,正相关
莜麦,西红柿,-0.1961,负相关
莜麦,茄子,-0.8303,负相关
莜麦,菠菜,0.1846,正相关
莜麦,青椒,-0.6021,负相关
莜麦,菜花,0.653,正相关
莜麦,包菜,-0.723,负相关
莜麦,油麦菜,-0.0542,负相关
莜麦,小青菜,0.772,正相关
莜麦,黄瓜,0.1,正相关
莜麦,生菜,-0.4435,负相关
莜麦,辣椒,-0.9194,负相关
莜麦,空心菜,0.3202,正相关
莜麦,黄心菜,0.4894,正相关
莜麦,芹菜,0.9853,正相关
莜麦,大白菜,-0.4377,负相关
莜麦,白萝卜,-0.4249,负相关
莜麦,红萝卜,-0.7399,负相关
莜麦,榆黄菇,-0.1695,负相关
莜麦,香菇,-0.1667,负相关
莜麦,白灵菇,-0.4975,负相关
莜麦,羊肚菌,0.6817,正相关
大麦,水稻,0.7546,正相关
大麦,豇豆,-0.3189,负相关
大麦,刀豆,-0.9724,负相关
大麦,芸豆,-0.29,负相关
大麦,土豆,-0.8714,负相关
大麦,西红柿,0.0081,正相关
大麦,茄子,0.4293,正相关
大麦,菠菜,0.4892,正相关
大麦,青椒,0.1028,正相关
大麦,菜花,0.6791,正相关
大麦,包菜,0.5742,正相关
大麦,油麦菜,0.4537,正相关
大麦,小青菜,0.2972,正相关
大麦,黄瓜,0.5913,正相关
大麦,生菜,-0.6139,负相关
大麦,辣椒,0.0302,正相关
大麦,空心菜,0.3354,正相关
大麦,黄心菜,0.8265,正相关
大麦,芹菜,-0.3469,负相关
大麦,大白菜,0.2963,正相关
大麦,白萝卜,-0.8683,负相关
大麦,红萝卜,0.5094,正相关
大麦,榆黄菇,0.7343,正相关
大麦,香菇,0.6455,正相关
大麦,白灵菇,0.9598,正相关
大麦,羊肚菌,0.6393,正相关
水稻,豇豆,0.0751,正相关
水稻,刀豆,-0.0403,负相关
水稻,芸豆,-0.225,负相关
水稻,土豆,-0.765,负相关
水稻,西红柿,0.8592,正相关
水稻,茄子,-0.2059,负相关
水稻,菠菜,-0.5952,负相关
水稻,青椒,0.1923,正相关
水稻,菜花,0.2226,正相关
水稻,包菜,-0.7693,负相关
水稻,油麦菜,-0.5106,负相关
水稻,小青菜,0.2672,正相关
水稻,黄瓜,-0.1478,负相关
水稻,生菜,0.7162,正相关
水稻,辣椒,0.4484,正相关
水稻,空心菜,0.4321,正相关
水稻,黄心菜,-0.5715,负相关
水稻,芹菜,-0.8225,负相关
水稻,大白菜,-0.6663,负相关
水稻,白萝卜,-0.0901,负相关
水稻,红萝卜,0.4534,正相关
水稻,榆黄菇,-0.2912,负相关
水稻,香菇,-0.0625,负相关
水稻,白灵菇,-0.9705,负相关
水稻,羊肚菌,-0.7716,负相关
豇豆,刀豆,-0.9119,负相关
豇豆,芸豆,0.7488,正相关
豇豆,土豆,-0.2918,负相关
豇豆,西红柿,-0.7684,负相关
豇豆,茄子,0.4396,正相关
豇豆,菠菜,0.712,正相关
豇豆,青椒,-0.3141,负相关
豇豆,菜花,-0.1976,负相关
豇豆,包菜,-0.2407,负相关
豇豆,油麦菜,0.9179,正相关
豇豆,小青菜,-0.326,负相关
豇豆,黄瓜,-0.3256,负相关
豇豆,生菜,0.5534,正相关
豇豆,辣椒,0.2552,正相关
豇豆,空心菜,0.896,正相关
豇豆,黄心菜,0.9141,正相关
豇豆,芹菜,0.4525,正相关
豇豆,大白菜,-0.8207,负相关
豇豆,白萝卜,-0.7089,负相关
豇豆,红萝卜,-0.9943,负相关
豇豆,榆黄菇,-0.328,负相关
豇豆,香菇,-0.6517,负相关
豇豆,白灵菇,-0.3055,负相关
豇豆,羊肚菌,-0.5243,负相关
刀豆,芸豆,-0.8823,负相关
刀豆,土豆,-0.481,负相关
刀豆,西红柿,-0.433,负相关
刀豆,茄子,0.75,正相关
刀豆,菠菜,-0.434,负相关
刀豆,青椒,0.2624,正相关
刀豆,菜花,-0.6942,负相关
刀豆,包菜,-0.0691,负相关
刀豆,油麦菜,0.2978,正相关
刀豆,小青菜,-0.3776,负相关
刀豆,黄瓜,-0.4647,负相关
刀豆,生菜,0.6201,正相关
刀豆,辣椒,0.846,正相关
刀豆,空心菜,-0.1352,负相关
刀豆,黄心菜,-0.857,负相关
刀豆,芹菜,0.8354,正相关
刀豆,大白菜,-0.0504,负相关
刀豆,白萝卜,-0.992,负相关
刀豆,红萝卜,0.8147,正相关
刀豆,榆黄菇,-0.9518,负相关
刀豆,香菇,-0.7722,负相关
刀豆,白灵菇,-0.3399,负相关
刀豆,羊肚菌,-0.9437,负相关
芸豆,土豆,0.8004,正相关
芸豆,西红柿,-0.3099,负相关
芸豆,茄子,-0.3372,负相关
芸豆,菠菜,-0.9313,负相关
芸豆,青椒,-0.3119,负相关
芸豆,菜花,-0.2073,负相关
芸豆,包菜,-0.4894,负相关
芸豆,油麦菜,-0.1354,负相关
芸豆,小青菜,0.0548,正相关
芸豆,黄瓜,0.2063,正相关
芸豆,生菜,0.5412,正相关
芸豆,辣椒,0.0526,正相关
芸豆,空心菜,0.9718,正相关
芸豆,黄心菜,0.5675,正相关
芸豆,芹菜,0.6137,正相关
芸豆,大白菜,0.9306,正相关
芸豆,白萝卜,0.6678,正相关
芸豆,红萝卜,0.8935,正相关
芸豆,榆黄菇,-0.1752,负相关
芸豆,香菇,-0.7592,负相关
芸豆,白灵菇,-0.9551,负相关
芸豆,羊肚菌,-0.6292,负相关
土豆,西红柿,-0.6772,负相关
土豆,茄子,0.145,正相关
土豆,菠菜,0.9069,正相关
土豆,青椒,0.0397,正相关
土豆,菜花,0.6472,正相关
土豆,包菜,0.2119,正相关
土豆,油麦菜,0.7391,正相关
土豆,小青菜,-0.7582,负相关
土豆,黄瓜,0.1671,正相关
土豆,生菜,-0.0582,负相关
土豆,辣椒,0.085,正相关
土豆,空心菜,-0.1423,负相关
土豆,黄心菜,0.9882,正相关
土豆,芹菜,0.0567,正相关
土豆,大白菜,-0.6557,负相关
土豆,白萝卜,-0.1526,负相关
土豆,红萝卜,0.8101,正相关
土豆,榆黄菇,-0.1691,负相关
土豆,香菇,0.4699,正相关
土豆,白灵菇,-0.2999,负相关
土豆,羊肚菌,0.9046,正相关
西红柿,茄子,-0.1182,负相关
西红柿,菠菜,-0.1673,负相关
西红柿,青椒,0.1096,正相关
西红柿,菜花,0.5016,正相关
西红柿,包菜,-0.1186,负相关
西红柿,油麦菜,-0.288,负相关
西红柿,小青菜,0.3716,正相关
西红柿,黄瓜,0.9685,正相关
西红柿,生菜,-0.6584,负相关
西红柿,辣椒,-0.5744,负相关
西红柿,空心菜,0.6222,正相关
西红柿,黄心菜,-0.397,负相关
西红柿,芹菜,-0.1775,负相关
西红柿,大白菜,-0.6599,负相关
西红柿,白萝卜,0.8937,正相关
西红柿,红萝卜,0.7102,正相关
西红柿,榆黄菇,0.5646,正相关
西红柿,香菇,0.8772,正相关
西红柿,白灵菇,-0.0093,负相关
西红柿,羊肚菌,0.3715,正相关
茄子,菠菜,-0.0554,负相关
茄子,青椒,-0.3083,负相关
茄子,菜花,-0.2271,负相关
茄子,包菜,0.4934,正相关
茄子,油麦菜,-0.8012,负相关
茄子,小青菜,-0.164,负相关
茄子,黄瓜,0.1832,正相关
茄子,生菜,0.6981,正相关
茄子,辣椒,-0.0257,负相关
茄子,空心菜,-0.9497,负相关
茄子,黄心菜,-0.1828,负相关
茄子,芹菜,0.573,正相关
茄子,大白菜,-0.2915,负相关
茄子,白萝卜,-0.7913,负相关
茄子,红萝卜,-0.7688,负相关
茄子,榆黄菇,-0.0979,负相关
茄子,香菇,-0.2368,负相关
茄子,白灵菇,0.5678,正相关
茄子,羊肚菌,0.6087,正相关
菠菜,青椒,0.3799,正相关
菠菜,菜花,0.8089,正相关
菠菜,包菜,-0.0712,负相关
菠菜,油麦菜,-0.7428,负相关
菠菜,小青菜,0.6664,正相关
菠菜,黄瓜,0.1161,正相关
菠菜,生菜,-0.4743,负相关
菠菜,辣椒,0.2012,正相关
菠菜,空心菜,0.4661,正相关
菠菜,黄心菜,-0.3662,负相关
菠菜,芹菜,0.5267,正相关
菠菜,大白菜,0.1193,正相关
菠菜,白萝卜,0.0644,正相关
菠菜,红萝卜,0.6054,正相关
菠菜,榆黄菇,-0.2014,负相关
菠菜,香菇,-0.9512,负相关
菠菜,白灵菇,-0.9322,负相关
菠菜,羊肚菌,-0.8478,负相关
青椒,菜花,-0.9316,负相关
青椒,包菜,0.4782,正相关
青椒,油麦菜,-0.2981,负相关
青椒,小青菜,-0.4963,负相关
青椒,黄瓜,-0.3994,负相关
青椒,生菜,0.5581,正相关
青椒,辣椒,0.8508,正相关
青椒,空心菜,0.1058,正相关
青椒,黄心菜,0.6683,正相关
青椒,芹菜,-0.0449,负相关
青椒,大白菜,0.2816,正相关
青椒,白萝卜,-0.1614,负相关
青椒,红萝卜,0.9779,正相关
青椒,榆黄菇,-0.1584,负相关
青椒,香菇,0.0011,正相关
青椒,白灵菇,-0.7145,负相关
青椒,羊肚菌,0.4489,正相关
菜花,包菜,-0.6076,负相关
菜花,油麦菜,-0.6457,负相关
菜花,小青菜,-0.8209,负相关
菜花,黄瓜,-0.676,负相关
菜花,生菜,-0.0146,负相关
菜花,辣椒,0.1385,正相关
菜花,空心菜,0.1819,正相关
菜花,黄心菜,0.1908,正相关
菜花,芹菜,-0.9995,负相关
菜花,大白菜,0.8684,正相关
菜花,白萝卜,-0.121,负相关
菜花,红萝卜,-0.5209,负相关
菜花,榆黄菇,0.2651,正相关
菜花,香菇,0.302,正相关
菜花,白灵菇,-0.1011,负相关
菜花,羊肚菌,0.5635,正相关
包菜,油麦菜,-0.1311,负相关
包菜,小青菜,-0.5632,负相关
包菜,黄瓜,-0.2665,负相关
包菜,生菜,0.3899,正相关
包菜,辣椒,0.3478,正相关
包菜,空心菜,0.8514,正相关
包菜,黄心菜,-0.6779,负相关
包菜,芹菜,-0.5069,负相关
包菜,大白菜,-0.4986,负相关
包菜,白萝卜,-0.6076,负相关
包菜,红萝卜,0.5248,正相关
包菜,榆黄菇,-0.3716,负相关
包菜,香菇,-0.5148,负相关
包菜,白灵菇,-0.3754,负相关
包菜,羊肚菌,-0.5203,负相关
油麦菜,小青菜,-0.8554,负相关
油麦菜,黄瓜,-0.6282,负相关
油麦菜,生菜,-0.0946,负相关
油麦菜,辣椒,0.765,正相关
油麦菜,空心菜,-0.3221,负相关
油麦菜,黄心菜,-0.7549,负相关
油麦菜,芹菜,0.7893,正相关
油麦菜,大白菜,0.3591,正相关
油麦菜,白萝卜,0.7076,正相关
油麦菜,红萝卜,0.8058,正相关
油麦菜,榆黄菇,-0.505,负相关
油麦菜,香菇,-0.3427,负相关
油麦菜,白灵菇,-0.3605,负相关
油麦菜,羊肚菌,0.0275,正相关
小青菜,黄瓜,-0.8969,负相关
小青菜,生菜,-0.7284,负相关
小青菜,辣椒,0.9025,正相关
小青菜,空心菜,0.434,正相关
小青菜,黄心菜,-0.8878,负相关
小青菜,芹菜,-0.8916,负相关
