作物1,作物2,皮埃尔系数,相关性
黑豆,青椒,0.5531,正相关
黑豆,菜花,0.4113,正相关
黑豆,包菜,-0.7507,负相关
黑豆,油麦菜,-0.3444,负相关
黑豆,小青菜,-0.1818,负相关
黑豆,黄瓜,-0.1088,负相关
黑豆,生菜,-0.4534,负相关
黑豆,辣椒,0.7564,正相关
黑豆,空心菜,0.8097,正相关
黑豆,黄心菜,0.3785,正相关
黑豆,芹菜,0.7409,正相关
黑豆,大白菜,-0.9575,负相关
黑豆,白萝卜,-0.5946,负相关
黑豆,红萝卜,0.1144,正相关
黑豆,榆黄菇,-0.2263,负相关
黑豆,香菇,0.1078,正相关
黑豆,白灵菇,0.4377,正相关
黑豆,羊肚菌,0.492,正相关
红豆,绿豆,-0.5549,负相关
红豆,爬豆,0.1947,正相关
红豆,小麦,0.8004,正相关
红豆,玉米,-0.1425,负相关
红豆,谷子,-0.521,负相关
红豆,高粱,0.3279,正相关
红豆,黍子,0.675,正相关
红豆,荞麦,-0.2055,负相关
红豆,南瓜,-0.0684,负相关
红豆,红薯,0.9126,正相关
红豆,莜麦,-0.4142,负相关
红豆,大麦,0.0977,正相关
红豆,水稻,0.3223,正相关
红豆,豇豆,-0.1147,负相关
红豆,刀豆,0.7887,正相关
红豆,芸豆,0.4691,正相关
红豆,土豆,0.7636,正相关
红豆,西红柿,0.9501,正相关
红豆,茄子,-0.8254,负相关
红豆,菠菜,0.493,正相关
红豆,青椒,-0.3583,负相关
红豆,菜花,0.76,正相关
红豆,包菜,-0.3013,负相关
红豆,油麦菜,0.1998,正相关
红豆,小青菜,0.1479,正相关
红豆,黄瓜,-0.2102,负相关
红豆,生菜,0.9356,正相关
红豆,辣椒,0.1438,正相关
红豆,空心菜,-0.6189,负相关
红豆,黄心菜,0.9421,正相关
红豆,芹菜,-0.3017,负相关
红豆,大白菜,0.8806,正相关
红豆,白萝卜,0.4841,正相关
红豆,红萝卜,-0.2188,负相关
红豆,榆黄菇,-0.9313,负相关
红豆,香菇,-0.424,负相关
红豆,白灵菇,-0.4612,负相关
红豆,羊肚菌,0.357,正相关
绿豆,爬豆,0.672,正相关
绿豆,小麦,-0.0355,负相关
绿豆,玉米,0.6478,正相关
绿豆,谷子,0.2915,正相关
绿豆,高粱,-0.6254,负相关
绿豆,黍子,-0.9333,负相关
绿豆,荞麦,-0.3179,负相关
绿豆,南瓜,-0.4719,负相关
绿豆,红薯,0.5374,正相关
绿豆,莜麦,-0.5426,负相关
绿豆,大麦,-0.6932,负相关
绿豆,水稻,0.3009,正相关
绿豆,豇豆,0.1291,正相关
绿豆,刀豆,0.0251,正相关
绿豆,芸豆,-0.6528,负相关
绿豆,土豆,0.2589,正相关
绿豆,西红柿,-0.2855,负相关
绿豆,茄子,0.1509,正相关
绿豆,菠菜,0.4527,正相关
绿豆,青椒,-0.4075,负相关
绿豆,菜花,0.8866,正相关
绿豆,包菜,0.0578,正相关
绿豆,油麦菜,-0.6615,负相关
绿豆,小青菜,-0.7874,负相关
绿豆,黄瓜,-0.6924,负相关
绿豆,生菜,-0.2536,负相关
绿豆,辣椒,0.3529,正相关
绿豆,空心菜,-0.1436,负相关
绿豆,黄心菜,0.8764,正相关
绿豆,芹菜,-0.805,负相关
绿豆,大白菜,-0.4407,负相关
绿豆,白萝卜,-0.127,负相关
绿豆,红萝卜,-0.172,负相关
绿豆,榆黄菇,0.2486,正相关
绿豆,香菇,0.4119,正相关
绿豆,白灵菇,-0.5819,负相关
绿豆,羊肚菌,-0.9858,负相关
爬豆,小麦,0.1325,正相关
爬豆,玉米,0.2677,正相关
爬豆,谷子,0.1742,正相关
爬豆,高粱,0.4042,正相关
爬豆,黍子,-0.5355,负相关
爬豆,荞麦,0.3872,正相关
爬豆,南瓜,0.1678,正相关
爬豆,红薯,0.7113,正相关
爬豆,莜麦,0.0969,正相关
爬豆,大麦,0.3124,正相关
爬豆,水稻,0.4918,正相关
爬豆,豇豆,0.1655,正相关
爬豆,刀豆,-0.8089,负相关
爬豆,芸豆,-0.3013,负相关
爬豆,土豆,-0.7359,负相关
爬豆,西红柿,-0.4139,负相关
爬豆,茄子,-0.7026,负相关
爬豆,菠菜,0.5778,正相关
爬豆,青椒,0.6404,正相关
爬豆,菜花,0.1804,正相关
爬豆,包菜,0.3866,正相关
爬豆,油麦菜,-0.3904,负相关
爬豆,小青菜,-0.315,负相关
爬豆,黄瓜,0.2473,正相关
爬豆,生菜,-0.6885,负相关
爬豆,辣椒,0.7872,正相关
爬豆,空心菜,-0.2749,负相关
爬豆,黄心菜,0.1755,正相关
爬豆,芹菜,0.7173,正相关
爬豆,大白菜,-0.5963,负相关
爬豆,白萝卜,-0.6737,负相关
爬豆,红萝卜,0.4973,正相关
爬豆,榆黄菇,-0.5224,负相关
爬豆,香菇,-0.5925,负相关
爬豆,白灵菇,-0.9566,负相关
爬豆,羊肚菌,-0.6661,负相关
小麦,玉米,-0.1046,负相关
小麦,谷子,0.9863,正相关
小麦,高粱,0.0873,正相关
小麦,黍子,0.296,正相关
小麦,荞麦,0.3002,正相关
小麦,南瓜,0.9753,正相关
小麦,红薯,-0.5092,负相关
小麦,莜麦,0.3047,正相关
小麦,大麦,0.293,正相关
小麦,水稻,-0.1243,负相关
小麦,豇豆,0.1801,正相关
小麦,刀豆,0.4096,正相关
小麦,芸豆,0.1295,正相关
小麦,土豆,-0.361,负相关
小麦,西红柿,-0.0429,负相关
小麦,茄子,-0.8007,负相关
小麦,菠菜,0.623,正相关
小麦,青椒,-0.4901,负相关
小麦,菜花,0.3993,正相关
小麦,包菜,-0.9266,负相关
小麦,油麦菜,0.2924,正相关
小麦,小青菜,0.8117,正相关
小麦,黄瓜,0.2905,正相关
小麦,生菜,-0.6496,负相关
小麦,辣椒,-0.7398,负相关
小麦,空心菜,0.9234,正相关
小麦,黄心菜,0.0175,正相关
小麦,芹菜,0.2478,正相关
小麦,大白菜,0.6178,正相关
小麦,白萝卜,0.5024,正相关
小麦,红萝卜,-0.8259,负相关
小麦,榆黄菇,-0.7178,负相关
小麦,香菇,-0.9779,负相关
小麦,白灵菇,-0.366,负相关
小麦,羊肚菌,-0.7754,负相关
玉米,谷子,-0.7501,负相关
玉米,高粱,0.5388,正相关
玉米,黍子,-0.9396,负相关
玉米,荞麦,0.6594,正相关
玉米,南瓜,0.4181,正相关
玉米,红薯,0.8856,正相关
玉米,莜麦,-0.0837,负相关
玉米,大麦,0.681,正相关
玉米,水稻,-0.5178,负相关
玉米,豇豆,0.1786,正相关
玉米,刀豆,0.7983,正相关
玉米,芸豆,-0.5595,负相关
玉米,土豆,-0.406,负相关
玉米,西红柿,0.3698,正相关
玉米,茄子,-0.5701,负相关
玉米,菠菜,0.7496,正相关
玉米,青椒,0.2775,正相关
玉米,菜花,0.7394,正相关
玉米,包菜,0.4771,正相关
玉米,油麦菜,0.9847,正相关
玉米,小青菜,0.287,正相关
玉米,黄瓜,-0.3217,负相关
玉米,生菜,0.8816,正相关
玉米,辣椒,0.0533,正相关
玉米,空心菜,-0.1884,负相关
玉米,黄心菜,-0.4673,负相关
玉米,芹菜,0.8289,正相关
玉米,大白菜,0.5324,正相关
玉米,白萝卜,-0.9248,负相关
玉米,红萝卜,-0.3639,负相关
玉米,榆黄菇,-0.4259,负相关
玉米,香菇,0.3752,正相关
玉米,白灵菇,0.8911,正相关
玉米,羊肚菌,-0.1309,负相关
谷子,高粱,-0.9926,负相关
谷子,黍子,0.0992,正相关
谷子,荞麦,0.1852,正相关
谷子,南瓜,0.3058,正相关
谷子,红薯,0.0622,正相关
谷子,莜麦,0.8209,正相关
谷子,大麦,-0.3709,负相关
谷子,水稻,-0.8009,负相关
谷子,豇豆,-0.0341,负相关
谷子,刀豆,0.5744,正相关
谷子,芸豆,0.3525,正相关
谷子,土豆,-0.8944,负相关
谷子,西红柿,0.483,正相关
谷子,茄子,0.6418,正相关
谷子,菠菜,0.6352,正相关
谷子,青椒,0.7278,正相关
谷子,菜花,0.2769,正相关
谷子,包菜,-0.3918,负相关
谷子,油麦菜,-0.6261,负相关
谷子,小青菜,0.4354,正相关
谷子,黄瓜,0.2796,正相关
谷子,生菜,0.5318,正相关
谷子,辣椒,0.0359,正相关
谷子,空心菜,0.2591,正相关
谷子,黄心菜,0.6333,正相关
谷子,芹菜,0.7819,正相关
谷子,大白菜,-0.7003,负相关
谷子,白萝卜,-0.7007,负相关
谷子,红萝卜,-0.3702,负相关
谷子,榆黄菇,-0.564,负相关
谷子,香菇,0.9273,正相关
谷子,白灵菇,0.8712,正相关
谷子,羊肚菌,-0.5946,负相关
高粱,黍子,-0.9492,负相关
高粱,荞麦,0.7544,正相关
高粱,南瓜,0.7593,正相关
高粱,红薯,0.1208,正相关
高粱,莜麦,0.984,正相关
高粱,大麦,-0.6926,负相关
高粱,水稻,-0.0969,负相关
高粱,豇豆,0.9072,正相关
高粱,刀豆,-0.5174,负相关
高粱,芸豆,0.1821,正相关
高粱,土豆,-0.1278,负相关
高粱,西红柿,-0.4003,负相关
高粱,茄子,0.2985,正相关
高粱,菠菜,-0.6109,负相关
高粱,青椒,-0.4451,负相关
高粱,菜花,0.0905,正相关
高粱,包菜,0.6111,正相关
高粱,油麦菜,-0.0153,负相关
高粱,小青菜,0.6111,正相关
高粱,黄瓜,0.3042,正相关
高粱,生菜,0.8077,正相关
高粱,辣椒,0.5601,正相关
高粱,空心菜,-0.5254,负相关
高粱,黄心菜,-0.7717,负相关
高粱,芹菜,-0.8237,负相关
高粱,大白菜,0.6273,正相关
高粱,白萝卜,-0.9934,负相关
高粱,红萝卜,-0.8839,负相关
高粱,榆黄菇,0.3399,正相关
高粱,香菇,-0.7634,负相关
高粱,白灵菇,-0.4434,负相关
高粱,羊肚菌,-0.8603,负相关
黍子,荞麦,0.9073,正相关
黍子,南瓜,0.8052,正相关
黍子,红薯,0.34,正相关
黍子,莜麦,-0.3177,负相关
黍子,大麦,0.8274,正相关
黍子,水稻,0.8978,正相关
黍子,豇豆,-0.5504,负相关
黍子,刀豆,0.0846,正相关
黍子,芸豆,-0.4715,负相关
黍子,土豆,0.5021,正相关
黍子,西红柿,-0.1728,负相关
黍子,茄子,-0.1588,负相关
黍子,菠菜,-0.439,负相关
黍子,青椒,-0.2644,负相关
黍子,菜花,-0.7381,负相关
黍子,包菜,0.7092,正相关
黍子,油麦菜,0.2585,正相关
黍子,小青菜,-0.6215,负相关
黍子,黄瓜,0.6666,正相关
黍子,生菜,-0.0978,负相关
黍子,辣椒,0.6928,正相关
黍子,空心菜,-0.0728,负相关
黍子,黄心菜,0.8835,正相关
黍子,芹菜,-0.0775,负相关
黍子,大白菜,0.6987,正相关
黍子,白萝卜,-0.0107,负相关
黍子,红萝卜,-0.2398,负相关
黍子,榆黄菇,-0.9869,负相关
黍子,香菇,-0.3558,负相关
黍子,白灵菇,0.7955,正相关
黍子,羊肚菌,-0.1331,负相关
荞麦,南瓜,0.6214,正相关
荞麦,红薯,-0.8932,负相关
荞麦,莜麦,0.5609,正相关
荞麦,大麦,0.3019,正相关
荞麦,水稻,0.0841,正相关
荞麦,豇豆,-0.5202,负相关
荞麦,刀豆,0.5729,正相关
荞麦,芸豆,0.0542,正相关
荞麦,土豆,0.3935,正相关
荞麦,西红柿,0.1891,正相关
荞麦,茄子,-0.7466,负相关
荞麦,菠菜,-0.8367,负相关
荞麦,青椒,0.5999,正相关
荞麦,菜花,-0.5623,负相关
荞麦,包菜,0.0879,正相关
荞麦,油麦菜,0.4568,正相关
荞麦,小青菜,-0.5779,负相关
荞麦,黄瓜,0.2092,正相关
荞麦,生菜,-0.9253,负相关
荞麦,辣椒,-0.1735,负相关
荞麦,空心菜,-0.6246,负相关
荞麦,黄心菜,0.252,正相关
荞麦,芹菜,0.1868,正相关
荞麦,大白菜,-0.2402,负相关
荞麦,白萝卜,0.1409,正相关
荞麦,红萝卜,0.6554,正相关
荞麦,榆黄菇,0.9697,正相关
荞麦,香菇,-0.7525,负相关
荞麦,白灵菇,-0.3152,负相关
荞麦,羊肚菌,-0.5656,负相关
南瓜,红薯,-0.6149,负相关
南瓜,莜麦,-0.5615,负相关
南瓜,大麦,-0.6458,负相关
南瓜,水稻,0.199,正相关
南瓜,豇豆,-0.1802,负相关
南瓜,刀豆,-0.5161,负相关
南瓜,芸豆,0.5032,正相关
南瓜,土豆,-0.0428,负相关
南瓜,西红柿,-0.5903,负相关
南瓜,茄子,-0.2374,负相关
南瓜,菠菜,0.2498,正相关
南瓜,青椒,0.5769,正相关
南瓜,菜花,0.4021,正相关
南瓜,包菜,-0.5294,负相关
南瓜,油麦菜,0.989,正相关
南瓜,小青菜,-0.1975,负相关
南瓜,黄瓜,0.7742,正相关
南瓜,生菜,0.617,正相关
南瓜,辣椒,0.3844,正相关
南瓜,空心菜,0.2425,正相关
南瓜,黄心菜,-0.1314,负相关
南瓜,芹菜,-0.3085,负相关
南瓜,大白菜,-0.0684,负相关
南瓜,白萝卜,-0.7431,负相关
南瓜,红萝卜,-0.6712,负相关
南瓜,榆黄菇,0.345,正相关
南瓜,香菇,0.0469,正相关
南瓜,白灵菇,0.6654,正相关
南瓜,羊肚菌,0.2098,正相关
红薯,莜麦,0.8318,正相关
红薯,大麦,-0.2343,负相关
红薯,水稻,0.5458,正相关
红薯,豇豆,-0.4197,负相关
红薯,刀豆,0.2308,正相关
红薯,芸豆,-0.5901,负相关
红薯,土豆,-0.3162,负相关
红薯,西红柿,0.7696,正相关
红薯,茄子,-0.6562,负相关
红薯,菠菜,-0.7294,负相关
红薯,青椒,-0.6517,负相关
红薯,菜花,-0.7714,负相关
红薯,包菜,-0.8921,负相关
红薯,油麦菜,-0.0563,负相关
红薯,小青菜,-0.8543,负相关
红薯,黄瓜,0.2349,正相关
红薯,生菜,0.2557,正相关
红薯,辣椒,0.3526,正相关
红薯,空心菜,-0.0179,负相关
红薯,黄心菜,-0.4888,负相关
红薯,芹菜,-0.3799,负相关
红薯,大白菜,0.6153,正相关
红薯,白萝卜,0.1381,正相关
红薯,红萝卜,0.7298,正相关
红薯,榆黄菇,0.6821,正相关
红薯,香菇,-0.4785,负相关
红薯,白灵菇,0.2817,正相关
红薯,羊肚菌,0.0559,正相关
莜麦,大麦,-0.1548,负相关
莜麦,水稻,-0.8396,负相关
莜麦,豇豆,0.3986,正相关
莜麦,刀豆,0.3617,正相关
莜麦,芸豆,0.4318,正相关
莜麦,土豆,-0.0306,负相关
莜麦,西红柿,0.1466,正相关
莜麦,茄子,0.1753,正相关
莜麦,菠菜,-0.9878,负相关
莜麦,青椒,0.0077,正相关
莜麦,菜花,0.0163,正相关
莜麦,包菜,0.4953,正相关
莜麦,油麦菜,0.2581,正相关
莜麦,小青菜,-0.8243,负相关
莜麦,黄瓜,0.042,正相关
莜麦,生菜,0.8735,正相关
莜麦,辣椒,0.7485,正相关
莜麦,空心菜,0.3873,正相关
莜麦,黄心菜,0.8897,正相关
莜麦,芹菜,0.2143,正相关
莜麦,大白菜,-0.867,负相关
莜麦,白萝卜,0.0375,正相关
莜麦,红萝卜,-0.8125,负相关
莜麦,榆黄菇,0.2432,正相关
莜麦,香菇,0.0337,正相关
莜麦,白灵菇,0.2834,正相关
莜麦,羊肚菌,-0.6187,负相关
大麦,水稻,-0.4034,负相关
大麦,豇豆,-0.537,负相关
大麦,刀豆,0.7493,正相关
大麦,芸豆,0.3011,正相关
大麦,土豆,-0.3283,负相关
大麦,西红柿,-0.7115,负相关
大麦,茄子,-0.7071,负相关
大麦,菠菜,0.9476,正相关
大麦,青椒,-0.2271,负相关
大麦,菜花,0.9748,正相关
大麦,包菜,0.9716,正相关
大麦,油麦菜,0.781,正相关
大麦,小青菜,0.5409,正相关
大麦,黄瓜,-0.9351,负相关
大麦,生菜,0.7886,正相关
大麦,辣椒,0.0503,正相关
大麦,空心菜,0.0251,正相关
大麦,黄心菜,0.0906,正相关
大麦,芹菜,0.6841,正相关
大麦,大白菜,0.1287,正相关
大麦,白萝卜,0.7856,正相关
大麦,红萝卜,-0.0299,负相关
大麦,榆黄菇,0.1866,正相关
大麦,香菇,-0.7956,负相关
大麦,白灵菇,-0.4227,负相关
大麦,羊肚菌,0.3904,正相关
水稻,豇豆,0.298,正相关
水稻,刀豆,-0.6808,负相关
水稻,芸豆,-0.4946,负相关
水稻,土豆,0.8959,正相关
水稻,西红柿,-0.4353,负相关
水稻,茄子,-0.3642,负相关
水稻,菠菜,0.8356,正相关
水稻,青椒,-0.035,负相关
水稻,菜花,0.6794,正相关
水稻,包菜,0.2973,正相关
水稻,油麦菜,-0.1381,负相关
水稻,小青菜,0.1246,正相关
水稻,黄瓜,-0.2472,负相关
水稻,生菜,0.0783,正相关
水稻,辣椒,0.1362,正相关
水稻,空心菜,-0.189,负相关
水稻,黄心菜,-0.0553,负相关
水稻,芹菜,0.0041,正相关
水稻,大白菜,0.9129,正相关
水稻,白萝卜,-0.2471,负相关
水稻,红萝卜,-0.1781,负相关
水稻,榆黄菇,-0.5241,负相关
水稻,香菇,0.4758,正相关
水稻,白灵菇,0.0452,正相关
水稻,羊肚菌,-0.3161,负相关
豇豆,刀豆,-0.9727,负相关
豇豆,芸豆,-0.4902,负相关
豇豆,土豆,-0.3604,负相关
豇豆,西红柿,-0.3408,负相关
豇豆,茄子,0.8046,正相关
豇豆,菠菜,0.2223,正相关
豇豆,青椒,-0.7098,负相关
豇豆,菜花,0.3782,正相关
豇豆,包菜,0.4968,正相关
豇豆,油麦菜,0.0904,正相关
豇豆,小青菜,-0.6586,负相关
豇豆,黄瓜,-0.1211,负相关
豇豆,生菜,0.8455,正相关
豇豆,辣椒,0.8532,正相关
豇豆,空心菜,0.2456,正相关
豇豆,黄心菜,0.4717,正相关
豇豆,芹菜,0.3949,正相关
豇豆,大白菜,0.841,正相关
豇豆,白萝卜,-0.2489,负相关
豇豆,红萝卜,0.1323,正相关
豇豆,榆黄菇,-0.2784,负相关
豇豆,香菇,0.3806,正相关
豇豆,白灵菇,-0.7129,负相关
豇豆,羊肚菌,-0.5221,负相关
刀豆,芸豆,0.288,正相关
刀豆,土豆,-0.2397,负相关
刀豆,西红柿,-0.6455,负相关
刀豆,茄子,0.1684,正相关
刀豆,菠菜,0.7634,正相关
刀豆,青椒,0.5361,正相关
刀豆,菜花,-0.895,负相关
刀豆,包菜,0.4667,正相关
刀豆,油麦菜,0.5665,正相关
刀豆,小青菜,-0.0597,负相关
刀豆,黄瓜,0.1548,正相关
刀豆,生菜,-0.9426,负相关
刀豆,辣椒,-0.2355,负相关
刀豆,空心菜,-0.29,负相关
刀豆,黄心菜,0.3177,正相关
刀豆,芹菜,-0.2092,负相关
刀豆,大白菜,-0.1337,负相关
刀豆,白萝卜,0.5047,正相关
刀豆,红萝卜,-0.0608,负相关
刀豆,榆黄菇,0.3684,正相关
刀豆,香菇,0.8746,正相关
刀豆,白灵菇,0.0437,正相关
刀豆,羊肚菌,0.6242,正相关
芸豆,土豆,-0.0981,负相关
芸豆,西红柿,0.8868,正相关
芸豆,茄子,0.9723,正相关
芸豆,菠菜,-0.5614,负相关
芸豆,青椒,-0.6788,负相关
芸豆,菜花,0.255,正相关
芸豆,包菜,0.8371,正相关
芸豆,油麦菜,-0.2075,负相关
芸豆,小青菜,0.4764,正相关
芸豆,黄瓜,-0.7809,负相关
芸豆,生菜,0.5928,正相关
芸豆,辣椒,-0.8203,负相关
芸豆,空心菜,0.9024,正相关
芸豆,黄心菜,-0.4648,负相关
芸豆,芹菜,0.3752,正相关
芸豆,大白菜,-0.765,负相关
芸豆,白萝卜,0.6977,正相关
芸豆,红萝卜,-0.6417,负相关
芸豆,榆黄菇,-0.4291,负相关
芸豆,香菇,-0.3579,负相关
芸豆,白灵菇,0.3843,正相关
芸豆,羊肚菌,-0.809,负相关
土豆,西红柿,0.3203,正相关
土豆,茄子,-0.7739,负相关
土豆,菠菜,-0.3828,负相关
土豆,青椒,0.7544,正相关
土豆,菜花,-0.8196,负相关
土豆,包菜,0.5775,正相关
土豆,油麦菜,-0.6106,负相关
土豆,小青菜,0.1981,正相关
土豆,黄瓜,-0.111,负相关
土豆,生菜,-0.0555,负相关
土豆,辣椒,0.2031,正相关
土豆,空心菜,0.5253,正相关
土豆,黄心菜,-0.7318,负相关
土豆,芹菜,0.8798,正相关
土豆,大白菜,-0.3347,负相关
土豆,白萝卜,-0.2791,负相关
土豆,红萝卜,0.2341,正相关
土豆,榆黄菇,-0.6327,负相关
土豆,香菇,-0.1258,负相关
土豆,白灵菇,-0.5412,负相关
土豆,羊肚菌,-0.3602,负相关
西红柿,茄子,-0.3673,负相关
西红柿,菠菜,-0.9127,负相关
西红柿,青椒,0.0407,正相关
西红柿,菜花,-0.3217,负相关
西红柿,包菜,0.5765,正相关
西红柿,油麦菜,0.7891,正相关
西红柿,小青菜,0.3515,正相关
西红柿,黄瓜,-0.2301,负相关
西红柿,生菜,0.9082,正相关
西红柿,辣椒,0.2536,正相关
西红柿,空心菜,0.2592,正相关
西红柿,黄心菜,0.6769,正相关
西红柿,芹菜,-0.9321,负相关
西红柿,大白菜,0.9152,正相关
西红柿,白萝卜,-0.2643,负相关
西红柿,红萝卜,0.0394,正相关
西红柿,榆黄菇,-0.3837,负相关
西红柿,香菇,0.4706,正相关
西红柿,白灵菇,0.1217,正相关
西红柿,羊肚菌,-0.4797,负相关
茄子,菠菜,0.9869,正相关
茄子,青椒,0.0037,正相关
茄子,菜花,-0.6755,负相关
茄子,包菜,0.5763,正相关
茄子,油麦菜,0.1986,正相关
茄子,小青菜,-0.2234,负相关
茄子,黄瓜,0.3797,正相关
茄子,生菜,0.5114,正相关
茄子,辣椒,-0.3121,负相关
茄子,空心菜,0.3086,正相关
茄子,黄心菜,0.5249,正相关
茄子,芹菜,0.9782,正相关
茄子,大白菜,-0.4666,负相关
茄子,白萝卜,-0.4055,负相关
茄子,红萝卜,0.2825,正相关
茄子,榆黄菇,-0.4113,负相关
茄子,香菇,-0.3931,负相关
茄子,白灵菇,0.215,正相关
茄子,羊肚菌,-0.9455,负相关
菠菜,青椒,0.1919,正相关
菠菜,菜花,0.6607,正相关
菠菜,包菜,0.8124,正相关
菠菜,油麦菜,0.9814,正相关
菠菜,小青菜,-0.8144,负相关
菠菜,黄瓜,0.9444,正相关
菠菜,生菜,-0.2943,负相关
菠菜,辣椒,-0.4334,负相关
菠菜,空心菜,-0.2049,负相关
菠菜,黄心菜,-0.6817,负相关
菠菜,芹菜,-0.1328,负相关
菠菜,大白菜,0.7615,正相关
菠菜,白萝卜,-0.2868,负相关
菠菜,红萝卜,0.0079,正相关
菠菜,榆黄菇,-0.3113,负相关
菠菜,香菇,-0.5422,负相关
菠菜,白灵菇,0.0892,正相关
菠菜,羊肚菌,-0.1608,负相关
青椒,菜花,0.5469,正相关
青椒,包菜,-0.6682,负相关
青椒,油麦菜,-0.1742,负相关
青椒,小青菜,0.3038,正相关
青椒,黄瓜,-0.5824,负相关
青椒,生菜,0.244,正相关
青椒,辣椒,-0.0241,负相关
青椒,空心菜,-0.2406,负相关
青椒,黄心菜,-0.3478,负相关
青椒,芹菜,-0.4886,负相关
青椒,大白菜,-0.9384,负相关
青椒,白萝卜,0.9707,正相关
青椒,红萝卜,0.0058,正相关
青椒,榆黄菇,0.0898,正相关
青椒,香菇,-0.7215,负相关
青椒,白灵菇,-0.2568,负相关
青椒,羊肚菌,0.8271,正相关
菜花,包菜,0.5645,正相关
菜花,油麦菜,0.3494,正相关
菜花,小青菜,-0.102,负相关
菜花,黄瓜,-0.7649,负相关
菜花,生菜,0.3861,正相关
菜花,辣椒,-0.408,负相关
菜花,空心菜,0.9152,正相关
菜花,黄心菜,-0.2951,负相关
菜花,芹菜,0.6323,正相关
菜花,大白菜,0.9754,正相关
菜花,白萝卜,0.1858,正相关
菜花,红萝卜,-0.9596,负相关
菜花,榆黄菇,-0.975,负相关
菜花,香菇,-0.4631,负相关
菜花,白灵菇,-0.0984,负相关
菜花,羊肚菌,-0.2844,负相关
包菜,油麦菜,0.831,正相关
包菜,小青菜,0.8765,正相关
包菜,黄瓜,0.9742,正相关
包菜,生菜,0.9463,正相关
包菜,辣椒,-0.8706,负相关
包菜,空心菜,0.1419,正相关
包菜,黄心菜,0.9796,正相关
包菜,芹菜,0.995,正相关
包菜,大白菜,-0.1917,负相关
包菜,白萝卜,0.578,正相关
包菜,红萝卜,0.8089,正相关
包菜,榆黄菇,0.1956,正相关
包菜,香菇,-0.0164,负相关
包菜,白灵菇,0.5226,正相关
包菜,羊肚菌,0.0431,正相关
油麦菜,小青菜,-0.2795,负相关
油麦菜,黄瓜,-0.8451,负相关
油麦菜,生菜,-0.7458,负相关
油麦菜,辣椒,-0.8856,负相关
油麦菜,空心菜,-0.6021,负相关
油麦菜,黄心菜,-0.037,负相关
油麦菜,芹菜,0.2979,正相关
油麦菜,大白菜,-0.1013,负相关
油麦菜,白萝卜,0.7465,正相关
油麦菜,红萝卜,-0.3615,负相关
油麦菜,榆黄菇,-0.8609,负相关
油麦菜,香菇,-0.0359,负相关
油麦菜,白灵菇,-0.0812,负相关
油麦菜,羊肚菌,0.9701,正相关
小青菜,黄瓜,0.0371,正相关
小青菜,生菜,0.4734,正相关
小青菜,辣椒,0.4776,正相关
小青菜,空心菜,-0.435,负相关
小青菜,黄心菜,-0.1357,负相关
小青菜,芹菜,-0.2774,负相关
小青菜,大白菜,-0.3729,负相关
小青菜,白萝卜,-0.3081,负相关
